congress,icpsr_id_number,state_code,congressional_district,state_name,party,name,first_dimension,second_dimension,log_likelihood,number_of_votes,number_of_classification_errors,geometric_mean_probability
114,49700,41,0,ALABAMA,Republican,SESSIONS,0.6924,0.0087,-63.24987,285,26,0.801
114,94659,41,0,ALABAMA,Republican,SHELBY,0.7248,0.4367,-54.51838,282,26,0.824
114,40300,81,0,ALASKA,Republican,MURKOWSKI,0.1563,-0.3777,-85.48903,283,45,0.739
114,41500,81,0,ALASKA,Republican,SULLIVAN,0.5575,0.0941,-59.50836,284,22,0.811
114,20100,61,0,ARIZONA,Republican,FLAKE,0.4331,-0.6860,-75.52910,281,33,0.764
114,15039,61,0,ARIZONA,Republican,MCCAIN,0.4226,-1.1080,-79.40520,281,35,0.754
114,21301,42,0,ARKANSA,Republican,COTTON,0.7184,0.0405,-41.84314,288,20,0.865
114,20101,42,0,ARKANSA,Republican,BOOZMAN,0.5563,0.3126,-36.66292,287,15,0.880
114,15011,71,0,CALIFOR,Democrat,BOXER,-0.4672,-0.1345,-19.69931,257,9,0.926
114,49300,71,0,CALIFOR,Democrat,FEINSTEIN,-0.3244,-0.2223,-28.27392,279,11,0.904
114,21112,62,0,COLORAD,Republican,GARDNER,0.4471,-0.1554,-67.67994,285,31,0.789
114,40910,62,0,COLORAD,Democrat,BENNET,-0.2360,-0.0462,-50.78298,289,20,0.839
114,41101,1,0,CONNECT,Democrat,BLUMENTHAL,-0.4151,-0.0565,-21.77122,288,12,0.927
114,20707,1,0,CONNECT,Democrat,MURPHY,-0.4387,-0.0175,-28.20208,288,12,0.907
114,40916,11,0,DELAWAR,Democrat,COONS,-0.3419,-0.1447,-28.93270,277,16,0.901
114,15015,11,0,DELAWAR,Democrat,CARPER,-0.2517,-0.0707,-64.88599,285,31,0.796
114,41102,43,0,FLORIDA,Republican,RUBIO,0.5958,-0.5624,-50.81375,194,24,0.770
114,14651,43,0,FLORIDA,Democrat,NELSON,-0.2779,0.0863,-51.16539,268,27,0.826
114,41501,44,0,GEORGIA,Republican,PERDUE,0.6743,-0.4042,-50.03659,289,22,0.841
114,29909,44,0,GEORGIA,Republican,ISAKSON,0.4174,0.0790,-42.80507,288,20,0.862
114,20713,82,0,HAWAII,Democrat,HIRONO,-0.4877,0.0699,-16.26446,288,2,0.945
114,41112,82,0,HAWAII,Democrat,SCHATZ,-0.4264,0.0765,-25.53912,286,8,0.915
114,40902,63,0,IDAHO,Republican,RISCH,0.7737,0.4124,-30.87409,288,13,0.898
114,29345,63,0,IDAHO,Republican,CRAPO,0.8102,0.4833,-37.44372,285,17,0.877
114,15021,21,0,ILLINOI,Democrat,DURBIN,-0.4595,-0.0467,-20.03588,287,9,0.933
114,20115,21,0,ILLINOI,Republican,KIRK,0.3138,-0.9078,-86.48740,275,39,0.730
